time,gFx,gFy,gFz,TgF
21:13:01:464,0.9491,0.0305,0.2781,0.996
21:13:01:466,0.9491,0.0305,0.2793,0.996
21:13:01:467,0.9479,0.0298,0.2773,0.994
21:13:01:468,0.9450,0.0276,0.2725,0.990
21:13:01:469,0.9416,0.0237,0.2661,0.985
21:13:01:470,0.9396,0.0198,0.2590,0.980
21:13:01:471,0.9423,0.0166,0.2527,0.981
21:13:01:472,0.9467,0.0147,0.2490,0.984
21:13:01:473,0.9462,0.0142,0.2456,0.983
21:13:01:474,0.9442,0.0154,0.2397,0.979
21:13:01:475,0.9442,0.0161,0.2348,0.978
21:13:01:476,0.9455,0.0169,0.2336,0.979
21:13:01:476,0.9474,0.0176,0.2348,0.981
21:13:01:480,0.9501,0.0181,0.2375,0.985
21:13:01:482,0.9526,0.0176,0.2405,0.988
21:13:01:483,0.9567,0.0169,0.2429,0.992
21:13:01:485,0.9618,0.0159,0.2451,0.998
21:13:01:486,0.9682,0.0154,0.2470,1.004
21:13:01:487,0.9736,0.0164,0.2480,1.010
21:13:01:489,0.9760,0.0164,0.2475,1.012
21:13:01:495,0.9765,0.0169,0.2456,1.012
21:13:01:496,0.9760,0.0173,0.2458,1.012
21:13:01:497,0.9706,0.0186,0.2448,1.006
21:13:01:498,0.9565,0.0208,0.2378,0.991
21:13:01:499,0.9704,0.0200,0.2363,1.004
21:13:01:510,0.9943,0.0195,0.2461,1.029
21:13:01:511,1.0024,0.0203,0.2561,1.040
21:13:01:512,0.9975,0.0220,0.2593,1.036
21:13:01:513,0.9897,0.0235,0.2556,1.028
21:13:01:514,0.9843,0.0239,0.2507,1.021
21:13:01:514,0.9848,0.0235,0.2473,1.021
21:13:01:515,0.9877,0.0237,0.2461,1.023
21:13:01:516,0.9902,0.0252,0.2453,1.026
21:13:01:517,0.9919,0.0264,0.2463,1.028
21:13:01:529,0.9916,0.0271,0.2475,1.028
21:13:01:530,0.9904,0.0296,0.2510,1.028
21:13:01:531,0.9902,0.0318,0.2556,1.029
21:13:01:532,0.9875,0.0340,0.2583,1.027
21:13:01:533,0.9855,0.0357,0.2598,1.026
21:13:01:533,0.9860,0.0379,0.2627,1.027
21:13:01:534,0.9887,0.0386,0.2668,1.031
21:13:01:535,0.9916,0.0376,0.2705,1.035
21:13:01:536,0.9951,0.0357,0.2727,1.039
21:13:01:537,1.0048,0.0239,0.2715,1.047
21:13:01:539,1.0119,0.0068,0.2622,1.050
21:13:01:551,1.0070,0.0042,0.2527,1.043
21:13:01:553,1.0058,0.0107,0.2507,1.041
21:13:01:554,1.0097,0.0161,0.2517,1.046
21:13:01:555,1.0134,0.0191,0.2517,1.049
21:13:01:556,1.0124,0.0222,0.2512,1.048
21:13:01:556,1.0068,0.0252,0.2510,1.043
21:13:01:557,0.9990,0.0281,0.2500,1.036
21:13:01:558,0.9946,0.0283,0.2475,1.031
21:13:01:558,0.9941,0.0252,0.2458,1.030
21:13:01:559,0.9929,0.0205,0.2456,1.028
21:13:01:562,0.9914,0.0151,0.2436,1.026
21:13:01:563,0.9887,0.0107,0.2400,1.022
21:13:01:565,0.9841,0.0081,0.2341,1.016
21:13:01:567,0.9789,0.0071,0.2275,1.009
21:13:01:569,0.9714,0.0071,0.2229,1.001
21:13:01:570,0.9631,0.0090,0.2207,0.992
21:13:01:574,0.9562,0.0103,0.2212,0.986
21:13:01:575,0.9484,0.0122,0.2255,0.979
21:13:01:577,0.9418,0.0142,0.2331,0.975
21:13:01:578,0.9384,0.0166,0.2414,0.974
21:13:01:586,0.9372,0.0178,0.2444,0.974
21:13:01:588,0.9362,0.0205,0.2483,0.974
21:13:01:589,0.9347,0.0237,0.2488,0.973
21:13:01:590,0.9342,0.0266,0.2488,0.973
21:13:01:591,0.9364,0.0279,0.2488,0.975
21:13:01:593,0.9386,0.0279,0.2507,0.978
21:13:01:594,0.9406,0.0269,0.2532,0.980
21:13:01:595,0.9420,0.0257,0.2549,0.982
21:13:01:597,0.9447,0.0249,0.2585,0.986
21:13:01:599,0.9486,0.0242,0.2644,0.991
21:13:01:602,0.9533,0.0237,0.2700,0.997
21:13:01:604,0.9574,0.0244,0.2739,1.002
21:13:01:605,0.9584,0.0276,0.2761,1.004
21:13:01:606,0.9557,0.0322,0.2766,1.002
21:13:01:608,0.9572,0.0342,0.2751,1.003
21:13:01:611,0.9633,0.0340,0.2717,1.008
21:13:01:613,0.9709,0.0325,0.2668,1.013
21:13:01:614,0.9762,0.0305,0.2627,1.017
21:13:01:618,0.9784,0.0269,0.2632,1.019
21:13:01:620,0.9789,0.0235,0.2676,1.021
21:13:01:621,0.9782,0.0210,0.2759,1.022
21:13:01:622,0.9770,0.0171,0.2864,1.024
21:13:01:624,0.9770,0.0129,0.2976,1.027
21:13:01:629,0.9760,0.0090,0.3079,1.029
21:13:01:630,0.9750,0.0071,0.3155,1.030
21:13:01:631,0.9743,0.0051,0.3221,1.032
21:13:01:633,0.9738,0.0034,0.3252,1.032
21:13:01:635,0.9731,0.0015,0.3242,1.031
21:13:01:636,0.9706,-0.0005,0.3194,1.027
21:13:01:638,0.9689,-0.0017,0.3135,1.024
21:13:01:640,0.9665,-0.0020,0.3093,1.020
21:13:01:642,0.9635,-0.0012,0.3054,1.016
21:13:01:644,0.9623,-0.0002,0.3020,1.014
21:13:01:646,0.9623,0.0005,0.3006,1.013
21:13:01:648,0.9633,0.0017,0.3013,1.015
21:13:01:650,0.9660,0.0032,0.3025,1.018
21:13:01:652,0.9677,0.0032,0.3032,1.019
21:13:01:654,0.9709,0.0005,0.3047,1.023
21:13:01:656,0.9706,0.0015,0.3079,1.024
21:13:01:658,0.9684,0.0034,0.3081,1.022
21:13:01:660,0.9631,0.0054,0.3084,1.017
21:13:01:662,0.9569,0.0073,0.3081,1.011
21:13:01:664,0.9557,0.0083,0.3069,1.010
21:13:01:667,0.9604,0.0095,0.3054,1.014
