time,gFx,gFy,gFz,TgF
21:31:45:291,0.9149,0.0870,0.4862,1.052
21:31:45:292,0.9052,0.0865,0.5001,1.050
21:31:45:293,0.8934,0.0850,0.5126,1.046
21:31:45:294,0.8768,0.0833,0.5224,1.037
21:31:45:295,0.8634,0.0789,0.5312,1.030
21:31:45:296,0.8507,0.0740,0.5361,1.021
21:31:45:296,0.8414,0.0704,0.5407,1.016
21:31:45:297,0.8399,0.0645,0.5532,1.021
21:31:45:298,0.8411,0.0591,0.5717,1.032
21:31:45:298,0.8394,0.0557,0.5852,1.038
21:31:45:302,0.8346,0.0550,0.5827,1.032
21:31:45:304,0.8311,0.0584,0.5646,1.019
21:31:45:306,0.8306,0.0647,0.5368,1.004
21:31:45:316,0.8284,0.0738,0.5048,0.986
21:31:45:317,0.8240,0.0860,0.4750,0.968
21:31:45:318,0.8262,0.0987,0.4550,0.962
21:31:45:319,0.8353,0.1114,0.4471,0.968
21:31:45:320,0.8470,0.1251,0.4486,0.981
21:31:45:322,0.8607,0.1378,0.4520,0.997
21:31:45:324,0.8722,0.1483,0.4523,1.009
21:31:45:325,0.8775,0.1573,0.4520,1.015
21:31:45:326,0.8785,0.1644,0.4528,1.018
21:31:45:327,0.8773,0.1693,0.4530,1.018
21:31:45:327,0.8751,0.1725,0.4523,1.016
21:31:45:328,0.8741,0.1727,0.4523,1.016
21:31:45:335,0.8751,0.1710,0.4515,1.016
21:31:45:337,0.8734,0.1705,0.4462,1.012
21:31:45:338,0.8656,0.1732,0.4310,0.999
21:31:45:338,0.8556,0.1759,0.4093,0.981
21:31:45:339,0.8499,0.1766,0.3897,0.968
21:31:45:341,0.8495,0.1752,0.3775,0.962
21:31:45:347,0.8543,0.1735,0.3731,0.964
21:31:45:348,0.8570,0.1730,0.3729,0.966
21:31:45:349,0.8624,0.1715,0.3748,0.972
21:31:45:349,0.8678,0.1678,0.3843,0.979
21:31:45:351,0.8700,0.1625,0.3983,0.986
21:31:45:354,0.8690,0.1549,0.4098,0.988
21:31:45:356,0.8688,0.1451,0.4168,0.989
21:31:45:357,0.8710,0.1351,0.4229,0.992
21:31:45:358,0.8746,0.1253,0.4320,0.998
21:31:45:360,0.8797,0.1138,0.4379,1.003
21:31:45:362,0.8859,0.1026,0.4386,1.007
21:31:45:364,0.8912,0.0923,0.4386,1.010
21:31:45:366,0.8939,0.0809,0.4415,1.012
21:31:45:368,0.8966,0.0684,0.4442,1.014
