time,gFx,gFy,gFz,TgF
21:41:38:407,0.6528,-0.0371,-0.6862,0.933
21:41:38:409,0.6457,-0.0354,-0.6855,0.927
21:41:38:411,0.6403,-0.0340,-0.6882,0.926
21:41:38:412,0.6362,-0.0332,-0.6935,0.927
21:41:38:414,0.6335,-0.0327,-0.7023,0.931
21:41:38:416,0.6301,-0.0327,-0.7141,0.938
21:41:38:418,0.6284,-0.0330,-0.7206,0.941
21:41:38:419,0.6259,-0.0337,-0.7356,0.951
21:41:38:421,0.6259,-0.0349,-0.7505,0.962
21:41:38:423,0.6306,-0.0374,-0.7607,0.973
21:41:38:425,0.6376,-0.0401,-0.7693,0.984
21:41:38:425,0.6447,-0.0432,-0.7768,0.994
21:41:38:426,0.6513,-0.0469,-0.7825,1.003
21:41:38:427,0.6574,-0.0503,-0.7859,1.010
21:41:38:429,0.6628,-0.0528,-0.7849,1.012
21:41:38:430,0.6670,-0.0537,-0.7793,1.011
21:41:38:431,0.6696,-0.0555,-0.7717,1.007
21:41:38:432,0.6709,-0.0562,-0.7646,1.002
21:41:38:433,0.6696,-0.0562,-0.7585,0.997
21:41:38:434,0.6679,-0.0557,-0.7541,0.993
21:41:38:436,0.6667,-0.0540,-0.7507,0.989
21:41:38:437,0.6672,-0.0515,-0.7461,0.986
21:41:38:438,0.6684,-0.0493,-0.7412,0.983
21:41:38:448,0.6696,-0.0464,-0.7378,0.982
21:41:38:449,0.6714,-0.0440,-0.7356,0.981
21:41:38:451,0.6728,-0.0418,-0.7334,0.981
21:41:38:452,0.6728,-0.0396,-0.7324,0.980
21:41:38:452,0.6731,-0.0381,-0.7331,0.981
21:41:38:453,0.6736,-0.0384,-0.7351,0.982
21:41:38:453,0.6728,-0.0401,-0.7380,0.984
21:41:38:453,0.6718,-0.0420,-0.7397,0.985
21:41:38:458,0.6714,-0.0442,-0.7392,0.984
21:41:38:459,0.6709,-0.0459,-0.7368,0.982
21:41:38:460,0.6692,-0.0479,-0.7351,0.979
21:41:38:463,0.6657,-0.0501,-0.7341,0.976
21:41:38:464,0.6621,-0.0518,-0.7321,0.972
21:41:38:465,0.6577,-0.0528,-0.7309,0.969
21:41:38:469,0.6523,-0.0537,-0.7307,0.965
21:41:38:470,0.6455,-0.0540,-0.7324,0.961
21:41:38:472,0.6367,-0.0545,-0.7363,0.959
21:41:38:473,0.6286,-0.0552,-0.7414,0.957
21:41:38:476,0.6249,-0.0552,-0.7436,0.956
21:41:38:477,0.6193,-0.0537,-0.7463,0.955
21:41:38:479,0.6166,-0.0520,-0.7490,0.955
21:41:38:481,0.6164,-0.0493,-0.7519,0.957
21:41:38:484,0.6183,-0.0467,-0.7551,0.961
21:41:38:486,0.6227,-0.0440,-0.7573,0.965
21:41:38:487,0.6279,-0.0415,-0.7597,0.971
21:41:38:489,0.6328,-0.0386,-0.7627,0.976
21:41:38:492,0.6369,-0.0347,-0.7641,0.980
21:41:38:493,0.6411,-0.0310,-0.7646,0.983
21:41:38:495,0.6457,-0.0279,-0.7644,0.986
21:41:38:497,0.6496,-0.0252,-0.7634,0.988
21:41:38:499,0.6533,-0.0237,-0.7634,0.990
21:41:38:503,0.6569,-0.0232,-0.7654,0.994
21:41:38:504,0.6608,-0.0222,-0.7678,0.998
21:41:38:506,0.6630,-0.0215,-0.7693,1.001
21:41:38:507,0.6638,-0.0210,-0.7690,1.001
21:41:38:509,0.6633,-0.0213,-0.7658,0.999
21:41:38:513,0.6621,-0.0213,-0.7619,0.995
21:41:38:513,0.6608,-0.0230,-0.7561,0.990
21:41:38:515,0.6606,-0.0252,-0.7495,0.985
21:41:38:519,0.6606,-0.0279,-0.7421,0.979
21:41:38:520,0.6599,-0.0318,-0.7358,0.974
21:41:38:523,0.6586,-0.0354,-0.7316,0.970
21:41:38:524,0.6557,-0.0396,-0.7299,0.967
21:41:38:526,0.6535,-0.0437,-0.7299,0.965
21:41:38:528,0.6523,-0.0481,-0.7307,0.965
21:41:38:530,0.6513,-0.0535,-0.7319,0.965
21:41:38:531,0.6494,-0.0594,-0.7343,0.966
21:41:38:534,0.6479,-0.0638,-0.7378,0.967
21:41:38:536,0.6459,-0.0669,-0.7424,0.969
21:41:38:537,0.6435,-0.0672,-0.7478,0.972
21:41:38:539,0.6425,-0.0635,-0.7531,0.975
21:41:38:542,0.6423,-0.0574,-0.7566,0.977
21:41:38:543,0.6369,-0.0591,-0.7407,0.962
21:41:38:545,0.6076,-0.0701,-0.7143,0.923
21:41:38:547,0.5868,-0.0633,-0.7199,0.914
21:41:38:553,0.5917,-0.0533,-0.7338,0.927
21:41:38:554,0.6240,-0.0293,-0.7715,0.977
21:41:38:555,0.6599,-0.0095,-0.8093,1.030
21:41:38:555,0.6772,-0.0002,-0.8325,1.059
21:41:38:558,0.6716,0.0020,-0.8408,1.062
21:41:38:559,0.6511,0.0027,-0.8396,1.048
21:41:38:562,0.6276,0.0054,-0.8323,1.028
21:41:38:563,0.6127,0.0112,-0.8235,1.013
21:41:38:565,0.6122,0.0193,-0.8176,1.008
21:41:38:571,0.6242,0.0274,-0.8154,1.014
21:41:38:572,0.6379,0.0310,-0.8172,1.024
21:41:38:573,0.6484,0.0298,-0.8181,1.032
21:41:38:575,0.6547,0.0247,-0.8152,1.033
21:41:38:576,0.6577,0.0169,-0.8108,1.031
21:41:38:578,0.6606,0.0095,-0.8032,1.027
21:41:38:579,0.6633,0.0034,-0.7957,1.022
21:41:38:582,0.6643,-0.0007,-0.7891,1.018
21:41:38:585,0.6652,-0.0039,-0.7827,1.013
21:41:38:587,0.6662,-0.0066,-0.7790,1.011
21:41:38:588,0.6640,-0.0086,-0.7778,1.009
21:41:38:590,0.6606,-0.0105,-0.7754,1.004
21:41:38:592,0.6538,-0.0110,-0.7712,0.997
21:41:38:594,0.6445,-0.0107,-0.7658,0.987
21:41:38:595,0.6374,-0.0105,-0.7571,0.975
21:41:38:597,0.6313,-0.0105,-0.7458,0.963
21:41:38:599,0.6254,-0.0110,-0.7351,0.951
21:41:38:602,0.6203,-0.0117,-0.7265,0.941
21:41:38:605,0.6159,-0.0125,-0.7211,0.934
21:41:38:606,0.6139,-0.0129,-0.7167,0.930
21:41:38:607,0.6137,-0.0147,-0.7133,0.927
21:41:38:610,0.6144,-0.0161,-0.7121,0.926
21:41:38:612,0.6135,-0.0173,-0.7150,0.928
21:41:38:613,0.6122,-0.0186,-0.7187,0.930
21:41:38:615,0.6098,-0.0200,-0.7250,0.933
21:41:38:618,0.6108,-0.0227,-0.7321,0.939
21:41:38:619,0.6144,-0.0252,-0.7385,0.946
21:41:38:622,0.6161,-0.0279,-0.7465,0.953
21:41:38:624,0.6164,-0.0293,-0.7514,0.957
21:41:38:625,0.6174,-0.0325,-0.7600,0.964
21:41:38:629,0.6200,-0.0357,-0.7636,0.969
21:41:38:630,0.6227,-0.0374,-0.7651,0.971
21:41:38:631,0.6244,-0.0376,-0.7649,0.972
21:41:38:635,0.6257,-0.0376,-0.7644,0.973
21:41:38:636,0.6247,-0.0362,-0.7649,0.972
21:41:38:638,0.6252,-0.0344,-0.7639,0.972
21:41:38:640,0.6259,-0.0335,-0.7619,0.971
21:41:38:642,0.6264,-0.0330,-0.7612,0.971
21:41:38:644,0.6284,-0.0320,-0.7612,0.972
21:41:38:645,0.6308,-0.0310,-0.7605,0.973
21:41:38:647,0.6323,-0.0296,-0.7617,0.975
21:41:38:649,0.6323,-0.0279,-0.7646,0.977
21:41:38:652,0.6323,-0.0249,-0.7656,0.978
21:41:38:654,0.6328,-0.0217,-0.7639,0.977
21:41:38:656,0.6330,-0.0191,-0.7629,0.977
21:41:38:657,0.6357,-0.0171,-0.7649,0.980
21:41:38:660,0.6389,-0.0161,-0.7654,0.982
21:41:38:661,0.6396,-0.0142,-0.7656,0.983
21:41:38:664,0.6401,-0.0122,-0.7649,0.983
21:41:38:665,0.6401,-0.0100,-0.7649,0.983
21:41:38:669,0.6386,-0.0076,-0.7685,0.985
21:41:38:670,0.6357,-0.0046,-0.7761,0.989
21:41:38:671,0.6345,-0.0020,-0.7842,0.995
21:41:38:674,0.6376,0.0002,-0.7913,1.002
21:41:38:675,0.6428,0.0032,-0.7959,1.009
21:41:38:678,0.6479,0.0046,-0.7988,1.015
21:41:38:679,0.6525,0.0044,-0.8005,1.019
21:41:38:681,0.6569,0.0022,-0.8020,1.023
21:41:38:683,0.6604,-0.0017,-0.8015,1.024
21:41:38:687,0.6628,-0.0051,-0.7991,1.024
21:41:38:689,0.6643,-0.0083,-0.7969,1.023
21:41:38:691,0.6628,-0.0105,-0.7969,1.022
21:41:38:692,0.6611,-0.0134,-0.7971,1.021
21:41:38:694,0.6577,-0.0164,-0.7976,1.019
21:41:38:695,0.6523,-0.0181,-0.7996,1.017
21:41:38:698,0.6464,-0.0186,-0.8000,1.014
21:41:38:699,0.6408,-0.0188,-0.7979,1.009
21:41:38:702,0.6391,-0.0191,-0.7959,1.006
21:41:38:704,0.6354,-0.0195,-0.7920,1.001
21:41:38:705,0.6313,-0.0203,-0.7895,0.996
21:41:38:709,0.6271,-0.0208,-0.7881,0.992
21:41:38:710,0.6230,-0.0198,-0.7871,0.989
21:41:38:711,0.6198,-0.0183,-0.7871,0.987
21:41:38:714,0.6174,-0.0178,-0.7871,0.985
21:41:38:715,0.6166,-0.0176,-0.7861,0.984
21:41:38:719,0.6176,-0.0176,-0.7825,0.982
21:41:38:720,0.6198,-0.0171,-0.7778,0.980
21:41:38:721,0.6225,-0.0178,-0.7727,0.977
21:41:38:723,0.6257,-0.0188,-0.7685,0.976
21:41:38:725,0.6279,-0.0191,-0.7656,0.975
21:41:38:727,0.6298,-0.0181,-0.7636,0.975
21:41:38:729,0.6310,-0.0173,-0.7629,0.975
21:41:38:731,0.6308,-0.0164,-0.7627,0.975
21:41:38:733,0.6306,-0.0159,-0.7629,0.975
21:41:38:736,0.6306,-0.0154,-0.7629,0.975
21:41:38:738,0.6308,-0.0151,-0.7607,0.974
21:41:38:739,0.6303,-0.0147,-0.7571,0.971
21:41:38:742,0.6306,-0.0144,-0.7544,0.969
21:41:38:744,0.6310,-0.0144,-0.7529,0.968
21:41:38:746,0.6298,-0.0139,-0.7536,0.968
21:41:38:747,0.6286,-0.0137,-0.7561,0.969
21:41:38:749,0.6276,-0.0132,-0.7580,0.970
21:41:38:752,0.6271,-0.0134,-0.7602,0.971
21:41:38:754,0.6276,-0.0144,-0.7624,0.973
21:41:38:756,0.6288,-0.0161,-0.7632,0.974
21:41:38:758,0.6315,-0.0176,-0.7622,0.975
21:41:38:760,0.6347,-0.0191,-0.7607,0.976
