time,gFx,gFy,gFz,TgF
21:50:08:632,0.8341,-0.0501,0.5578,1.012
21:50:08:633,0.8233,-0.0567,0.5534,1.001
21:50:08:634,0.8218,-0.0667,0.5529,1.000
21:50:08:635,0.8258,-0.0784,0.5559,1.005
21:50:08:636,0.8302,-0.0901,0.5568,1.009
21:50:08:637,0.8348,-0.0999,0.5534,1.012
21:50:08:638,0.8397,-0.1063,0.5505,1.014
21:50:08:638,0.8438,-0.1094,0.5532,1.019
21:50:08:639,0.8443,-0.1094,0.5585,1.023
21:50:08:640,0.8407,-0.1080,0.5629,1.022
21:50:08:641,0.8336,-0.1051,0.5661,1.018
21:50:08:642,0.8272,-0.0985,0.5700,1.015
21:50:08:643,0.8236,-0.0897,0.5739,1.014
21:50:08:644,0.8189,-0.0784,0.5752,1.010
21:50:08:645,0.8138,-0.0643,0.5727,1.004
21:50:08:652,0.8113,-0.0479,0.5686,1.000
21:50:08:653,0.8111,-0.0283,0.5632,0.997
21:50:08:655,0.8128,-0.0086,0.5559,0.995
21:50:08:655,0.8172,0.0125,0.5500,0.996
21:50:08:656,0.8277,0.0349,0.5510,1.007
21:50:08:665,0.8397,0.0562,0.5539,1.020
21:50:08:666,0.8524,0.0733,0.5544,1.033
21:50:08:667,0.8634,0.0848,0.5537,1.043
21:50:08:668,0.8714,0.0911,0.5539,1.050
21:50:08:668,0.8756,0.0938,0.5544,1.054
21:50:08:669,0.8758,0.0919,0.5483,1.051
21:50:08:670,0.8739,0.0838,0.5341,1.041
21:50:08:670,0.8710,0.0713,0.5192,1.029
21:50:08:686,0.8685,0.0562,0.5087,1.020
21:50:08:687,0.8690,0.0391,0.5058,1.017
21:50:08:688,0.8736,0.0215,0.5099,1.022
21:50:08:689,0.8785,0.0061,0.5173,1.029
21:50:08:690,0.8805,-0.0066,0.5256,1.034
21:50:08:691,0.8797,-0.0171,0.5348,1.038
21:50:08:691,0.8783,-0.0217,0.5405,1.040
21:50:08:692,0.8732,-0.0300,0.5512,1.041
21:50:08:693,0.8631,-0.0357,0.5561,1.035
21:50:08:694,0.8551,-0.0386,0.5571,1.029
21:50:08:694,0.8531,-0.0413,0.5593,1.029
21:50:08:695,0.8507,-0.0428,0.5615,1.028
21:50:08:696,0.8480,-0.0423,0.5595,1.025
21:50:08:698,0.8497,-0.0420,0.5556,1.024
21:50:08:705,0.8546,-0.0415,0.5524,1.026
21:50:08:707,0.8563,-0.0384,0.5468,1.025
21:50:08:708,0.8541,-0.0335,0.5378,1.018
21:50:08:709,0.8524,-0.0293,0.5304,1.012
21:50:08:709,0.8548,-0.0266,0.5287,1.014
21:50:08:710,0.8585,-0.0244,0.5322,1.019
21:50:08:724,0.8587,-0.0217,0.5339,1.020
21:50:08:726,0.8578,-0.0203,0.5336,1.019
21:50:08:727,0.8563,-0.0200,0.5341,1.018
21:50:08:727,0.8553,-0.0208,0.5348,1.018
21:50:08:728,0.8565,-0.0235,0.5375,1.020
21:50:08:729,0.8560,-0.0264,0.5392,1.020
21:50:08:730,0.8526,-0.0293,0.5366,1.016
21:50:08:730,0.8514,-0.0315,0.5341,1.014
21:50:08:731,0.8534,-0.0330,0.5319,1.014
21:50:08:732,0.8560,-0.0332,0.5287,1.015
21:50:08:732,0.8587,-0.0313,0.5258,1.015
21:50:08:735,0.8619,-0.0286,0.5253,1.018
21:50:08:749,0.8644,-0.0242,0.5265,1.021
21:50:08:751,0.8683,-0.0203,0.5290,1.025
21:50:08:752,0.8724,-0.0171,0.5314,1.030
21:50:08:754,0.8749,-0.0151,0.5317,1.032
21:50:08:754,0.8763,-0.0144,0.5295,1.033
21:50:08:756,0.8788,-0.0151,0.5236,1.032
21:50:08:758,0.8793,-0.0166,0.5165,1.028
21:50:08:758,0.8793,-0.0181,0.5121,1.026
21:50:08:759,0.8783,-0.0188,0.5092,1.023
21:50:08:760,0.8771,-0.0186,0.5077,1.022
21:50:08:761,0.8724,-0.0183,0.5041,1.016
21:50:08:762,0.8663,-0.0198,0.4997,1.008
21:50:08:763,0.8600,-0.0215,0.4970,1.001
21:50:08:764,0.8546,-0.0227,0.4950,0.996
21:50:08:765,0.8502,-0.0242,0.4945,0.992
21:50:08:767,0.8438,-0.0269,0.4948,0.986
21:50:08:769,0.8394,-0.0296,0.4970,0.984
21:50:08:779,0.8367,-0.0318,0.5033,0.985
21:50:08:780,0.8355,-0.0337,0.5129,0.989
21:50:08:781,0.8370,-0.0362,0.5234,0.996
21:50:08:782,0.8399,-0.0398,0.5324,1.003
21:50:08:784,0.8411,-0.0420,0.5390,1.008
21:50:08:784,0.8402,-0.0437,0.5427,1.009
21:50:08:785,0.8380,-0.0454,0.5429,1.007
21:50:08:786,0.8367,-0.0474,0.5405,1.005
