time,gFx,gFy,gFz,TgF
22:08:06:543,0.8172,-0.0215,0.6445,1.051
22:08:06:544,0.8065,-0.0230,0.6453,1.043
22:08:06:546,0.7916,-0.0242,0.6406,1.029
22:08:06:547,0.7786,-0.0254,0.6355,1.016
22:08:06:549,0.7696,-0.0252,0.6321,1.007
22:08:06:550,0.7620,-0.0232,0.6279,0.998
22:08:06:551,0.7581,-0.0220,0.6257,0.994
22:08:06:551,0.7510,-0.0191,0.6211,0.985
22:08:06:552,0.7471,-0.0151,0.6162,0.979
22:08:06:553,0.7442,-0.0120,0.6113,0.974
22:08:06:554,0.7439,-0.0107,0.6062,0.971
22:08:06:554,0.7473,-0.0086,0.5996,0.969
22:08:06:555,0.7532,-0.0054,0.5967,0.972
22:08:06:562,0.7591,-0.0032,0.6003,0.979
22:08:06:564,0.7632,0.0046,0.5918,0.977
22:08:06:566,0.7556,0.0156,0.5730,0.960
22:08:06:567,0.7586,0.0120,0.5839,0.969
22:08:06:568,0.7752,0.0020,0.6120,0.999
22:08:06:570,0.8038,-0.0054,0.6377,1.037
22:08:06:571,0.8333,-0.0110,0.6548,1.071
22:08:06:572,0.8338,-0.0051,0.6538,1.071
22:08:06:573,0.8055,0.0105,0.6433,1.043
22:08:06:574,0.7696,0.0288,0.6350,1.011
22:08:06:577,0.7439,0.0447,0.6306,0.990
22:08:06:589,0.7329,0.0545,0.6284,0.982
22:08:06:590,0.7327,0.0586,0.6235,0.979
22:08:06:591,0.7356,0.0577,0.6116,0.973
22:08:06:591,0.7493,0.0559,0.6054,0.979
22:08:06:592,0.7632,0.0569,0.6032,0.989
22:08:06:593,0.7713,0.0611,0.6050,0.996
22:08:06:594,0.7742,0.0650,0.6089,1.002
22:08:06:594,0.7752,0.0687,0.6111,1.004
22:08:06:595,0.7749,0.0711,0.6094,1.003
22:08:06:596,0.7727,0.0730,0.6042,0.998
22:08:06:601,0.7732,0.0726,0.5957,0.993
22:08:06:602,0.7845,0.0733,0.5927,1.000
22:08:06:602,0.7957,0.0767,0.5930,1.010
22:08:06:607,0.7996,0.0823,0.5945,1.015
22:08:06:608,0.7994,0.0850,0.5949,1.015
22:08:06:609,0.7984,0.0882,0.5927,1.013
22:08:06:611,0.7977,0.0884,0.5891,1.011
22:08:06:612,0.7974,0.0862,0.5861,1.008
22:08:06:615,0.7981,0.0818,0.5835,1.007
22:08:06:617,0.7986,0.0777,0.5805,1.005
22:08:06:618,0.7977,0.0733,0.5803,1.003
