time,gFx,gFy,gFz,TgF
22:10:37:241,0.8780,-0.0430,0.4757,1.006
22:10:37:243,0.8768,-0.0467,0.4828,1.008
22:10:37:243,0.8758,-0.0513,0.4901,1.011
22:10:37:244,0.8739,-0.0555,0.4940,1.012
22:10:37:245,0.8719,-0.0594,0.4933,1.010
22:10:37:246,0.8697,-0.0621,0.4899,1.006
22:10:37:247,0.8678,-0.0635,0.4857,1.002
22:10:37:248,0.8666,-0.0625,0.4828,1.000
22:10:37:248,0.8673,-0.0606,0.4818,1.000
22:10:37:249,0.8710,-0.0584,0.4848,1.004
22:10:37:250,0.8763,-0.0542,0.4899,1.012
22:10:37:255,0.8810,-0.0486,0.4950,1.018
22:10:37:256,0.8829,-0.0423,0.4999,1.022
22:10:37:257,0.8819,-0.0359,0.5026,1.023
22:10:37:258,0.8822,-0.0303,0.5041,1.024
22:10:37:259,0.8866,-0.0264,0.5043,1.028
22:10:37:261,0.8907,-0.0239,0.5033,1.031
22:10:37:268,0.8929,-0.0222,0.5026,1.033
22:10:37:270,0.8900,-0.0203,0.4994,1.029
22:10:37:271,0.8851,-0.0198,0.4904,1.020
22:10:37:271,0.8797,-0.0210,0.4813,1.011
22:10:37:272,0.8761,-0.0235,0.4738,1.004
22:10:37:273,0.8756,-0.0276,0.4689,1.001
22:10:37:280,0.8756,-0.0320,0.4669,1.000
22:10:37:283,0.8778,-0.0374,0.4667,1.001
22:10:37:284,0.8802,-0.0423,0.4694,1.005
22:10:37:285,0.8797,-0.0454,0.4747,1.007
22:10:37:286,0.8788,-0.0464,0.4784,1.008
22:10:37:287,0.8771,-0.0474,0.4857,1.010
22:10:37:288,0.8763,-0.0481,0.4933,1.013
22:10:37:293,0.8785,-0.0496,0.5001,1.019
22:10:37:294,0.8805,-0.0508,0.5026,1.022
22:10:37:295,0.8788,-0.0515,0.5009,1.019
22:10:37:295,0.8753,-0.0530,0.4972,1.014
22:10:37:297,0.8753,-0.0550,0.4953,1.013
22:10:37:299,0.8778,-0.0567,0.4928,1.014
22:10:37:301,0.8810,-0.0581,0.4901,1.016
22:10:37:303,0.8817,-0.0606,0.4894,1.016
22:10:37:306,0.8800,-0.0625,0.4889,1.014
22:10:37:309,0.8775,-0.0623,0.4874,1.011
22:10:37:310,0.8766,-0.0618,0.4855,1.010
